Harapan_Lama_Sekolah,Pengeluaran_Perkapita,Rerata_Lama_Sekolah,Usia_Harapan_Hidup,IPM
12.86,9,7.96,65.25,Normal
13.62,10,8.91,61.77,Normal
13.38,8,7.44,62.53,Normal
12.36,7,7.88,70.94,Normal
13.24,9,7.96,67.77,Normal
11.95,11,8.09,66.45,Normal
12.53,8,7.51,68.55,Normal
13.97,8,10.03,66.09,Normal
12.3,6,9.69,63.45,Normal
12.82,7,9.76,65.14,Normal
14.17,10,9.68,66.45,High
13.04,10,8.79,66.44,Normal
12.31,7,8.83,62.96,Normal
13.48,8,8.92,61.85,Normal
12.77,9,8.46,59.62,Normal
12.35,6,8.59,62.55,Normal
12.7,7,7.95,66.36,Normal
16.04,14,12.2,70.63,Very-High
13.98,7,10.53,65.68,Normal
13.68,8,9.09,68.45,Normal
13.2,7,8.37,66.34,Normal
13.11,7,9.01,64.15,Normal
12.77,7,9,63.39,Normal
12.79,7,8.1,65.93,Normal
13.61,7,8.62,69.61,Normal
12.76,7,8.27,69.08,Normal
12.93,6,7.4,67.35,Normal
12.65,6,7.67,62.22,Normal
15.75,13,11.81,71.06,Very-High
14.32,8,9.95,69.43,High
13.13,7,7.69,66.14,Normal
14.63,7,8.97,68.5,Normal
12.41,8,8.58,64.93,Normal
11.63,8,7.08,60.24,Normal
12.42,9,8.22,60.99,Normal
13.66,11,8.34,68.82,High
13.17,6,7.49,66.39,Normal
13.72,7,8.33,66.22,Normal
12.06,7,8.02,64.83,Normal
12.18,4,5.39,60.2,Low
13.47,5,6.96,65.25,Low
12.35,5,6.63,67.6,Low
11.72,5,5.12,67.26,Low
14.39,13,11.19,70.93,High
11.11,6,6.76,65.93,Normal
14.14,10,8.73,67.07,High
12.53,7,5.6,59.9,Low
14.39,9,10.05,67.16,High
12.18,8,10.01,68.15,Normal
12.74,7,9.47,69.17,Normal
14.2,9,10.34,68.29,High
10.5,6,4.77,66.62,Low
7.49,5,3.74,65.33,Low
12.69,11,10.18,72.36,High
11.08,7,8.79,60.32,Normal
10.79,6,6.51,65.31,Low
9.3,5,5.08,58.59,Low
7.62,4,4.27,66.05,Low
6.47,5,3.04,64.54,Low
8.61,4,3.65,65.83,Low
12.29,6,8.83,66.46,Normal
12.43,8,8.02,66.78,Normal
12.8,6,9.21,66.42,Normal
13,5,8.87,66.06,Normal
11.8,4,5.87,58,Low
3.87,3,1.42,55.43,Low
8.89,4,3.43,66.11,Low
9.22,4,3.33,63.75,Low
9.32,4,3.01,65.49,Low
5.4,5,2.16,65.86,Low
10.59,5,4.94,65.85,Low
7.66,5,3.09,65.69,Low
9.82,4,3.25,65.36,Low
15.02,14,11.57,70.52,Very-High
13.08,11,8.54,71.57,High
14.31,9,9.33,69.93,High
13.76,7,9.34,65.26,Normal
14.31,8,8.53,67.39,Normal
14.42,8,8.87,64.35,Normal
14,8,9.66,68.14,Normal
13.03,8,8.15,68.72,Normal
14.27,10,9.85,68.85,High
14.6,9,9.37,67.98,High
14.72,9,10.32,69.78,High
14.46,9,8.99,66.94,High
14.83,8,9.28,71.22,High
14.7,8,8.63,68.8,Normal
13.58,8,8.66,65,Normal
13.77,8,8.2,65.47,Normal
13.59,8,8.9,69.58,Normal
14.13,8,8.68,69.22,Normal
13.98,9,8.7,67.16,Normal
13.46,11,9.79,69.22,High
14.82,10,9.33,70.14,High
17.79,16,12.65,71.45,Very-High
13.95,11,11.14,70.51,High
15.35,12,11.11,69.42,High
15.2,11,10.91,71.6,High
14.61,7,7.84,64.02,Normal
13.23,10,9.54,69.1,High
12.57,6,5.36,69.75,Normal
13.32,9,8.62,62.6,Normal
13.24,11,9.28,64.91,High
13.06,10,8.62,67.15,Normal
13.69,11,9.85,68.63,High
13.45,12,10.52,70.08,High
12.73,11,9.24,69.93,High
12.6,10,8.79,68.26,High
12.78,11,9.6,71.22,High
13.1,10,9.58,69,High
12.76,12,9.79,71.4,High
13.35,12,10.09,71.73,High
13.05,11,8.65,68.8,High
12.23,6,5.85,68.74,Normal
13.28,7,9.54,69.27,Normal
13.86,8,9.03,65.74,Normal
